Username,Date,Text,Geo,Hashtags,,,,
 +Kind4Kids,1/31/17 18:54,Marching with my middle schooler http://www. mothersinmedicine.com/2017/01/marchi ng-with-my-middle-schooler.html?m=1 â€_ #WomensMarch,"Washington, DC",#WomensMarch,,,,
 +ursusmiratus,1/31/17 18:53,Not sure... women's march or superhero convention? #WomensMarch pic.twitter.com/0ESVtxDbTa,,#WomensMarch,,,,
 +SweeetSpot,1/31/17 18:53,#TheResistance #StrongerTogether #BankExit #DumpTrump #TaxesTrumpet #ResignTrump #ImpeachTrump #Divest #StandingRock #WomensMarch https:// twitter.com/2017Ace/status /826281538069340161 â€_,United States,#TheResistance #StrongerTogether #BankExit #DumpTrump #TaxesTrumpet #ResignTrump #ImpeachTrump #Divest #StandingRock #WomensMarch,,,,
 +MelanieZeppel,1/31/17 18:53,"We have more citations than people in the #WomensMarch "" #Journal of #alternativefacts http:// retractionwatch.com/2017/01/31/wel come-journal-alternative-facts-theyre-greatest-winning/ â€_""","Sydney, New South Wales",#WomensMarch #Journal #alternativefacts,,,,
 +CeliaHodent,1/31/17 18:51,"Women led the French & Russian revolutions, and many revolts across the globe & through the ages, fyi http://www. huffingtonpost.com/entry/women-ar e-leading-the-resistance-against-trump_us_589000fce4b0c90efeffbe02?ncid=engmodushpmg00000004 â€_ #WomensMarch","Cary, NC",#WomensMarch,,,,
 +daramoresundon,1/31/17 18:51,@marthadebayle esta hermosura en la #WomensMarch https:// twitter.com/daramoresundon /status/826578281881288705 â€_,,#WomensMarch,,,,
 +RiveraGrrl,1/31/17 18:51,Your moment of Zen #TheResistance #Resist #NotMyPresident #MAGA #WomensMarch #Indivisible #resisttrumptuesday #RoastOfSteveBannon https:// twitter.com/kinablog/statu s/826540378560016389 â€_,Reality,#TheResistance #Resist #NotMyPresident #MAGA #WomensMarch #Indivisible #resisttrumptuesday #RoastOfSteveBannon,,,,
 +VSHLogan,1/31/17 18:51,Things to know. #WomensMarch https:// twitter.com/fahrenthold/st atus/826537432799657984 â€_,,#WomensMarch,,,,
 +rbchessi,1/31/17 18:51,What about the busload of Mainers who came to the #WomensMarch ?,"Washington, DC",#WomensMarch,,,,
 +fluxoregon,1/31/17 18:50,Check out some of the photos taken at the Portland #WomensMarch by FLUX staffers @AFrankphoto and @kayski . #lifeasajstudent pic.twitter.com/b6B0bxweZV,"Eugene, OR, United States",#WomensMarch #lifeasajstudent,,,,
 +NationalNOW,1/31/17 18:50,. @Terryoneill talks #WomensMarch and Equal Rights Amendment with @HuffingtonPost & @RYOT -- check it out! https:// youtu.be/eRibMCtt9-Q,"Washington, D.C.",#WomensMarch,,,,
 +CarmelJudeobsc1,1/31/17 18:49,#WomensMarch -- some additional activism for tonight: tune out @POTUS https:// twitter.com/misterpatches/ status/826575716275908608 â€_,,#WomensMarch,,,,
 +profesortbaker,1/31/17 18:48,ST & Taking Action @ST_TakingAction Trump during the #WomensMarch #resisttrumptuesday #resist ... http:// fb.me/65j3lvkrK,Santiago de Chile,#WomensMarch #resisttrumptuesday #resist,,,,
 +WayneFryback,1/31/17 18:48,Who gives a fuck? They were scared of the #WomensMarch .,,#WomensMarch,,,,
 +kellickyle,1/31/17 18:48,Absolutely amazing being in Washington to cover the #WomensMarch . Hope I did it justice. https:// twitter.com/wicbnews/statu s/826481602876284928 â€_,"Carlsbad, CA",#WomensMarch,,,,
 +liza_otay,1/31/17 18:48,@DanaRohrabacher I will be there when each one of u get sentenced for ur hate crimes! @OCWeekly @IndivisibleCA48 @maddow #womensmarch https:// twitter.com/malonebarry/st atus/826307519412838400 â€_,"My Congress is anti-same sex marriage/immigrants, Pro Trump/DeVos, & doesn't believe Global warming is true, Dana Rohrabacher(R)48",#womensmarch,,,,
 +skcreationsllc,1/31/17 18:48,New Yorker Cover - The March #womensmarch #newyorker #rosietheriveter #blackgirlmagic https://www. instagram.com/p/BP8p70JAvRS/,,#womensmarch #newyorker #rosietheriveter #blackgirlmagic,,,,
 +SmashCutCast,1/31/17 18:47,When a piece was supposed to be twenty minutes but ends up lasting an hour #WMXN #WomensMarch #SoMuchGoodStuff,"Baton Rouge, LA",#WMXN #WomensMarch #SoMuchGoodStuff,,,,
 +VSHLogan,1/31/17 18:47,Sisters speak: #WomensMarch https:// twitter.com/dakotawitch/st atus/826532217052606464 â€_,,#WomensMarch,,,,
 +FromTheChicks,1/31/17 18:47,Sometimes you have more to say that you can fit into your #podcast #womensmarch https://www. instagram.com/p/BP8pzCtjMnP/,United States,#podcast #womensmarch,,,,
 +revigilant,1/31/17 18:46,Great photo from my wife's experience at #WomensMarch in Washington D.C. Seems like yrs ago. #RESISTANCE pic.twitter.com/qisRDoIZ6M,,#WomensMarch #RESISTANCE,,,,
 +CIVILINTELWARS,1/31/17 18:46,#racist #tcot #pjnet #trump #womensmarch #marchforlife #presidenttrump #maga #fakenews #np #bbnaija #socailmedia #israel #weremember https:// twitter.com/AZWS/status/82 3194818822012929 â€_,"WASH. D.C., U.S.A.",#racist #tcot #pjnet #trump #womensmarch #marchforlife #presidenttrump #maga #fakenews #np #bbnaija #socailmedia #israel #weremember,,,,
 +Fred_Vega,1/31/17 18:46,"Si lo sabe Dios, que lo sepa el mundo. #IgnorancePrevails #PeopleYouBeenDuped #PresidentBannon #WomensMarch #MuslimBan #NoBanNoWall #Repost pic.twitter.com/zZ27KcCeVs","Orange, California, USA",#IgnorancePrevails #PeopleYouBeenDuped #PresidentBannon #WomensMarch #MuslimBan #NoBanNoWall #Repost,,,,
 +ehekkala,1/31/17 18:45,#ScienceMarch #WomensMarch @womensmarch @scienmag https:// twitter.com/Syndesmosis/st atus/826553705566699520 â€_,New York,#ScienceMarch #WomensMarch,,,,
 +Andyhc26,1/31/17 18:45,Pay attention #WomensMarch protesters & USA citizens. The has your back. Time to return the favor to #Poland #Rumania #Ukraine https:// twitter.com/balkaninsight/ status/826534623001841664 â€_,"Santa Ana, Costa Rica",#WomensMarch #Poland #Rumania #Ukraine,,,,
 +JessSchreindl,1/31/17 18:45,My latest: Is â€˜Pussy Powerâ€™ #Transphobic ? One Cis Woman's Struggle: @RoleReboot #WomensMarch #intersectional http://www. rolereboot.org/culture-and-po litics/details/2017-01-pussy-power-transphobic-one-ciswomans-struggle/#.WJEg0v78ldY.twitter â€_,"Seattle, WA",#Transphobic #WomensMarch #intersectional #,,,,
 +tobycharli,1/31/17 18:44,#WomensMarch https:// twitter.com/michaelkeyes/s tatus/826163115238776832 â€_,,#WomensMarch,,,,
 +N0Bu11sh1t,1/31/17 18:44,I think @KellyannePolls is magnificent totally opposite to those stupid #WomensMarch ers. https:// twitter.com/Trumpliwood/st atus/825922762535555073 â€_,,#WomensMarch,,,,
 +wearewideawake,1/31/17 18:43,@womensmarch Mr. Trump: #WomensMarch #Facebook I AM Palestine #ThisAmerican @POTUS @realDonaldTrump #FreePalestine http:// thearabdailynews.com/2017/01/31/mr- trump-the-womens-march-facebook-we-are-i-am-palestine-thisamerican/ â€_,USA,#WomensMarch #Facebook #ThisAmerican #FreePalestine,,,,
 +ChangingWindsMO,1/31/17 18:43,Sorry tho see @marcorubio confirming #disaster HHS & #corupt Treasury. @SenateDems did nothing than #swampfilling @POTUS 2018 #WomensMarch,"Florida, USA",#disaster #corupt #swampfilling #WomensMarch,,,,
 +SweeetSpot,1/31/17 18:43,Soul? He has no soul. #TheResistance #DumpTrump #DumpGOP #NoWallNoBan #RyanIsAChump #Resist #WomensMarch #Divest #StandingRock https:// twitter.com/TheDumberTrump /status/826573149823184896 â€_,United States,#TheResistance #DumpTrump #DumpGOP #NoWallNoBan #RyanIsAChump #Resist #WomensMarch #Divest #StandingRock,,,,
 +Sarahcha79,1/31/17 18:43,Going analog #womensmarch #newnormal #BeBoldEndHyde pic.twitter.com/hsV8q3CHY6,,#womensmarch #newnormal #BeBoldEndHyde,,,,
 +speaknowor4,1/31/17 18:43,Yes-civil rights activist except rights of Hillary voters--Hillary went unmentioned in #WomensMarch . thanks 4 #PresidentBannon,#stillwithher,#WomensMarch #PresidentBannon,,,,
 +HeintjeC123,1/31/17 18:42,"UberLosingMoreThanCustomers,SomeDriversBailingToo http://www. tmz.com/2017/01/30/ube r-drivers-quit-muslim-ban-donald-trump/ â€_ via @TMZ #resist #lovewins #WomensMarch #Refugees #Equality",The planet,#resist #lovewins #WomensMarch #Refugees #Equality,,,,
 +TrishCausey,1/31/17 18:42,Russia decriminalizes domestic violence. http://www. usatoday.com/story/news/201 7/01/27/russian-parliament-decrimiinalizes-domestic-violence/97129912/ â€_ . . . . #fem2 #womensrights #WomensMarch #womensrightsarehumanrights,FORMERLY _Ÿ’‹ @AnArousedWoman _Ÿ‘‡,#fem2 #womensrights #WomensMarch #womensrightsarehumanrights,,,,
 +RNRFlorida,1/31/17 18:42,The #WomensMarch on Washington wasnâ€™t for all women https:// goo.gl/yvrU1l via @afbranco #ProLife #RedNationRising pic.twitter.com/v7BkGm3UNP,Sunshine State,#WomensMarch #ProLife #RedNationRising,,,,
 +Ninja152622606,1/31/17 18:41,"the only tantrum I saw on TV is the #WomensMarch , protest at airports and nursing American flags by the libtards",,#WomensMarch,,,,
 +CIVILINTELWARS,1/31/17 18:41,#racist #tcot #pjnet #trump #womensmarch #marchforlife #presidenttrump #maga #fakenews #np #bbnaija #socailmedia #israel #weremember https:// twitter.com/AuburnBlueJenn /status/826551788820189184 â€_,"WASH. D.C., U.S.A.",#racist #tcot #pjnet #trump #womensmarch #marchforlife #presidenttrump #maga #fakenews #np #bbnaija #socailmedia #israel #weremember,,,,
 +WelcomeSticker,1/31/17 18:41,"I am a veteran of marches... but I have never seen anything like last Saturdayâ€™s #WomensMarch on Washington."" http:// msmagazine.com/blog/2017/01/2 5/5-million-pussy-hats-spell-resistance/ â€_""",,#WomensMarch,,,,
 +fixit_fitz,1/31/17 18:41,#MuslimBan #NoBanNoWall #WomensMarch @IndivisibleTeam @MomsDemand Please help spread the word. #ImpeachTrump #TheResistance https:// twitter.com/fixit_fitz/sta tus/816977311404789760 â€_,United States,#MuslimBan #NoBanNoWall #WomensMarch #ImpeachTrump #TheResistance,,,,
 +CoriGlezA,1/31/17 18:40,Ver algo como #WomensMarch o #ScienceMarch o #ScienceNotSilence me pongo triste.Ese tipo de organizaciÃ_n civil es lo q nos hace falta en,AquÃ_ y allÃ¡,#WomensMarch #ScienceMarch #ScienceNotSilence,,,,
 +EWADJD_D,1/31/17 18:39,#WomensMarch #TheResistance #Resist https:// twitter.com/ablacktweeter/ status/826574777254948865 â€_,United States,#WomensMarch #TheResistance #Resist,,,,
 +RNforHillary,1/31/17 18:39,HEY! Not pussy- cunt is fine! #WomensMarch #RESISTANCE #ImpeachTrump https:// twitter.com/bongo__fury/st atus/826571297027194882 â€_,,#WomensMarch #RESISTANCE #ImpeachTrump,,,,
 +EWADJD_D,1/31/17 18:39,Here is a great idea! This is what happens to your business when you are pres & do not divest!! #WomensMarch #TheResistance #Resist #moveon https:// twitter.com/traciemurphree /status/826568785796689920 â€_,United States,#WomensMarch #TheResistance #Resist #moveon,,,,
 +youwildman,1/31/17 18:39,TRUMP's TRYING 2stop #HomanSquare http:// tinyurl.com/jfd8asq http:// tinyurl.com/j4p9e79 #WomensMarch #SCOTUS #DEVOS #NoBan #Resist #Sanders #ACA pic.twitter.com/GeDNAg3EYj,Hell-on-earth but hoping to move up.,#HomanSquare #WomensMarch #SCOTUS #DEVOS #NoBan #Resist #Sanders #ACA,,,,
 +MoodyBrew,1/31/17 18:39,"After way she acted at so-called #WomensMarch ,I'd be 2 embarrassed 2 stay also.Besides she's passÃ© this is good excuse 4 her 2 leave.Buh-bye https:// twitter.com/trump_with/sta tus/826477700323778561 â€_",Oklahoma,#WomensMarch,,,,
 +U_KNOW,1/31/17 18:39,#bettywhiteforpres #betterwithbetty #bettywhite #bettysavestheday #dumptrump #watchyourweinersgentlemen #womenarethefuture #womensmarch pic.twitter.com/JCtqf9zKh2,"Hilliard, Ohio",#bettywhiteforpres #betterwithbetty #bettywhite #bettysavestheday #dumptrump #watchyourweinersgentlemen #womenarethefuture #womensmarch,,,,
 +RNforHillary,1/31/17 18:38,"Gag, dissolve EPA- much to do! #RESISTANCE #WomensMarch #Indivisible https:// twitter.com/moomer_/status /826573352009494529 â€_",,#RESISTANCE #WomensMarch #Indivisible,,,,
 +bbrendasw,1/31/17 18:38,@DavidMuir can the media please acknowledge and inform America Trump fired a woman for doing her job #womensmarch,,#womensmarch,,,,
 +CregBerger,1/31/17 18:37,#womensmarch @IndivisibleFM @IndivisibleTeam #NotMyPresident #RESISTANCE #StopTrump #Impeach #TheResistance @MoveOn #MoveOn #SpeakUpForUS pic.twitter.com/nKHkNdd4qJ,"Michigan, USA",#womensmarch #NotMyPresident #RESISTANCE #StopTrump #Impeach #TheResistance #MoveOn #SpeakUpForUS,,,,
 +shortee828,1/31/17 18:37,14 Democrats -WTF!!??? #WomensMarch paying attention https:// twitter.com/nytimes/status /826553721588948992 â€_,,#WomensMarch,,,,
 +dirtydeeds32,1/31/17 18:37,#WomensMarch where's the outrage when Muslim woman get there head chopped off if they have an affair,"Chippewa Falls, WI",#WomensMarch,,,,
 +curdhoney,1/31/17 18:36,Overheard a thousand times at the #WomensMarch . At least once by me. https:// twitter.com/elaineatwell/s tatus/826533264873631746 â€_,,#WomensMarch,,,,
 +ChiefFabulous,1/31/17 18:36,Never forget! #Hillary LAUGHED at what they do to LGBTQ What do #Democrats do? March behind a sharia pushing Muslim fanatic! #WomensMarch https:// twitter.com/danegerus/stat us/826571580461322240 â€_,,#Hillary #Democrats #WomensMarch,,,,
 +RNforHillary,1/31/17 18:36,"Thank you ES- raised my kids there, still call u home, raised to RESIST! #RESISTANCE #WomensMarch #Indivisible https:// twitter.com/tophertbrennan /status/826517580953186304 â€_",,#RESISTANCE #WomensMarch #Indivisible,,,,
 +abigailbirkett,1/31/17 18:36,"@PodSaveAmerica You right, protest is the new brunch. #PodSaveAmerica #letthemin #nobannowall #WomensMarch #thisiswhatamericalookslike","Dallas, TX",#PodSaveAmerica #letthemin #nobannowall #WomensMarch #thisiswhatamericalookslike,,,,
 +CallawayBOT,1/31/17 18:36,RT @twistertitr RT @twistertitr : #NotMyPresident #TheResistance #WomensMarch #Dems #Women #GOPWomen #Indie #Africa â€_ http:// buff.ly/2jAciwM,"On various fibers, tubes",#NotMyPresident #TheResistance #WomensMarch #Dems #Women #GOPWomen #Indie #Africa,,,,
 +ABlackTweeter,1/31/17 18:35,Anonymous Group Reveals Direct Phone Numbers For White House Staff http:// gothamist.com/2017/01/31/whi te_house_phone_numbers.php â€_ #MuslimBan #NoBanNoWall #womensmarch pic.twitter.com/WzWjlTXQ6U,Mom. Wife. Sister. Adjunct.,#MuslimBan #NoBanNoWall #womensmarch,,,,
 +princessjodita,1/31/17 18:35,Women get things done. #womensmarch #feminismrocks #doingtheirjob https:// twitter.com/FemMajority/st atus/826475943560617985 â€_,VA,#womensmarch #feminismrocks #doingtheirjob,,,,
 +rlg100619,1/31/17 18:35,"The #WomensMarch would've been about the misogynist"" GOP standing in the way of HRC's agenda.""","Ohio, USA",#WomensMarch,,,,
 +lwvlosangeles,1/31/17 18:35,What's Next? Let's Keep the Movement Going! http:// p0.vresp.com/STtxvT #womensmarch,Los Angeles,#womensmarch,,,,
 +fixit_fitz,1/31/17 18:35,"Help with the #CapitolHillSitIn Feb 4 & 5 Dress warm, be nice Please share. @MomsDemand @IndivisibleTeam #WomensMarch #MuslimBan pic.twitter.com/sZVl1ICP9Z",United States,#CapitolHillSitIn #WomensMarch #MuslimBan,,,,
 +democracy_16,1/31/17 18:35,SF says FU - San Fran Sues Trump Over Executive Order Targeting Sanctuary Cities https:// goo.gl/FsaLFW #SeedToSaleShow #WomensMarch pic.twitter.com/WEn2M6T0te,"Boston, MA",#SeedToSaleShow #WomensMarch,,,,
 +KarenSparksJoh2,1/31/17 18:35,We made history at #womensmarch . Now itâ€™s time to make our voices heard. First up: send a postcard to your Senators https://www. womensmarch.com/100?source=twi tter& â€_,,#womensmarch,,,,
 +reynoldshoover1,1/31/17 18:34,"@csx #Railfail #railwaysafety #transformationtuesday #csxpolice new Anarchy Police Markings Package"" a must have! #WomensMarch pic.twitter.com/RJ6p3NrDYZ""",Underground Bunker,#Railfail #railwaysafety #transformationtuesday #csxpolice #WomensMarch,,,,
 +bigfatamerica,1/31/17 18:34,#MuslimBan #MuslimBanprotest #WomensMarch pic.twitter.com/TzsqhsDZsh,America,#MuslimBan #MuslimBanprotest #WomensMarch,,,,
 +goldbricker83,1/31/17 18:34,"How misogyny helped rile up angry, insecure men to vote Trump #EverydaySexism #WomensMarch https:// goingasplanned.wordpress.com/2017/01/31/mis ogyny-got-donald-trump-elected â€_ pic.twitter.com/7TT4YmVtxd","Chicago, IL and Minneapolis MN",#EverydaySexism #WomensMarch,,,,
 +PeoplevsDonald,1/31/17 18:33,#resist #resisttrump #womensmarch #nobannowall https:// twitter.com/bethsgallery/s tatus/826569337930731520 â€_,United States,#resist #resisttrump #womensmarch #nobannowall,,,,
 +HeintjeC123,1/31/17 18:33,Thanks to @lyft for supporting @ACLU . Adios 2 @Uber . #resist #RESISTANCE #lovewins #WomensMarch #Refugees #RESISTANCE #Equality,The planet,#resist #RESISTANCE #lovewins #WomensMarch #Refugees #RESISTANCE #Equality,,,,
 +JessCWill,1/31/17 18:33,50 groups to learn about if youâ€™re committed to intersectional feminism #WomensMarch http://www. huffingtonpost.com/entry/50-group s-to-learn-about-if-youre-committed-to-intersectional-feminism_us_5887b050e4b0441a8f715df7?ncid=engmodushpmg00000004 â€_ via @HuffPostWomen,New York,#WomensMarch,,,,
 +barbiege0,1/31/17 18:33,https://www. etsy.com/listing/493212 856/pussy-cat-hat-project?ref=shop_home_active_1 â€_ #SAGAwards #pussyhat #pussyhatproject #womensmarch,,#SAGAwards #pussyhat #pussyhatproject #womensmarch,,,,
 +GallyHJ,1/31/17 18:32,If only I could knit......But there's time to learn before the UK 'visit' #iwillmarch #WomensMarch https:// doc-00-64-docs.googleusercontent.com/docs/securesc/ ha0ro937gcuc7l7deffksulhg5h7mbp1/iaokf7sjguo1skp3gvv7rdhaakh6986e/1485900000000/17503850521981054588/*/0BwBjtQGbV7gEZU1TdUd2b1JIZGM?e=download â€_,"Northampton, England",#iwillmarch #WomensMarch,,,,
 +PeoplevsDonald,1/31/17 18:32,#NOBANNOWALL No White Supremacy In The White House #RESISTTRUMP #RESIST #WOMENSMARCH @DegenArt @rosie @NancySinatra @tedsirota @WMN4SRVL https:// twitter.com/zokwma/status/ 826570488780582913 â€_,United States,#NOBANNOWALL #RESISTTRUMP #RESIST #WOMENSMARCH,,,,
 +SweeetSpot,1/31/17 18:31,He's such a chump. Gullible as hell. Loves Trumpet. Hero worship. #TheResistance #DumpTrump #DumpGOP #DumpRyan #WomensMarch #https:// twitter.com/mendoamama/sta tus/826421841170415617 â€_,United States,#TheResistance #DumpTrump #DumpGOP #DumpRyan #WomensMarch #https,,,,
 +leeroyjenkins61,1/31/17 18:31,I know now @AshleyJudd does after watching her speech at #WomensMarch So Sad https:// twitter.com/74f5c728e7d446 d/status/826539645806731264 â€_,"Texas, USA",#WomensMarch,,,,
 +TravelingUS,1/31/17 18:31,POST IT AGAIN WITH THESE HASHTAGS & ACCTS! #MuslimBan #WomensMarch @MomsDemand @IndivisibleTeam https:// twitter.com/fixit_fitz/sta tus/826550622187036676 â€_,United States,#MuslimBan #WomensMarch,,,,
 +DishMurphy,1/31/17 18:31,Keep up the pressure. Protests are working #NoBanNoWall #ImmigrantsMakeUsStronger #NoMuslimBan #WomensMarch @MoveOn @MMFlint @lsarsour https:// twitter.com/thehill/status /826572792929853440 â€_,United States,#NoBanNoWall #ImmigrantsMakeUsStronger #NoMuslimBan #WomensMarch,,,,
 +tinamccoy,1/31/17 18:30,Beyond excited! #danrather #occupydemocrats #womensmarch rocking my March D.C. shirt! pic.twitter.com/DqUTjxyfqj,"San Diego, CA",#danrather #occupydemocrats #womensmarch,,,,
